County,Candidate,Election Day Votes,Absentee by Mail Votes,Advanced Voting Votes,Provisional Votes,Total Votes
Appling,Donald J. Trump,1753,890,3874,9,6526
Appling,Jo Jorgensen,5,5,26,0,36
Appling,Joseph R. Biden,334,587,855,3,1779
Atkinson,Donald J. Trump,716,164,1419,1,2300
Atkinson,Jo Jorgensen,14,3,13,0,30
Atkinson,Joseph R. Biden,250,130,445,0,825
Bacon,Donald J. Trump,431,487,3099,1,4018
Bacon,Jo Jorgensen,8,4,13,0,25
Bacon,Joseph R. Biden,140,196,288,1,625
Baker,Donald J. Trump,291,138,466,2,897
Baker,Jo Jorgensen,2,2,2,0,6
Baker,Joseph R. Biden,149,234,269,0,652
Baldwin,Donald J. Trump,1873,1290,5736,4,8903
Baldwin,Jo Jorgensen,63,38,107,0,208
Baldwin,Joseph R. Biden,1527,3000,4612,1,9140
Banks,Donald J. Trump,1644,1025,5116,10,7795
Banks,Jo Jorgensen,20,9,45,0,74
Banks,Joseph R. Biden,150,344,435,3,932
Barrow,Donald J. Trump,5885,4134,16782,3,26804
Barrow,Jo Jorgensen,226,131,307,0,664
Barrow,Joseph R. Biden,1717,3583,5150,3,10453
Bartow,Donald J. Trump,10179,5976,21499,20,37674
Bartow,Jo Jorgensen,276,148,275,2,701
Bartow,Joseph R. Biden,2175,4486,5423,8,12092
Ben Hill,Donald J. Trump,441,528,3140,1,4110
Ben Hill,Jo Jorgensen,18,8,32,0,58
Ben Hill,Joseph R. Biden,336,714,1342,0,2392
Berrien,Donald J. Trump,1835,749,3825,10,6419
Berrien,Jo Jorgensen,21,9,25,0,55
Berrien,Joseph R. Biden,333,367,568,1,1269
Bibb,Donald J. Trump,7922,5375,13234,54,26585
Bibb,Jo Jorgensen,299,174,273,3,749
Bibb,Joseph R. Biden,8704,14264,20384,116,43468
Bleckley,Donald J. Trump,942,614,2770,2,4328
Bleckley,Jo Jorgensen,20,10,37,0,67
Bleckley,Joseph R. Biden,295,428,588,0,1311
Brantley,Donald J. Trump,1992,685,4307,7,6991
Brantley,Jo Jorgensen,24,11,21,0,56
Brantley,Joseph R. Biden,145,204,349,1,699
Brooks,Donald J. Trump,1423,519,2312,6,4260
Brooks,Jo Jorgensen,16,9,25,0,50
Brooks,Joseph R. Biden,522,1115,1149,4,2790
Bryan,Donald J. Trump,2579,1588,10072,5,14244
Bryan,Jo Jorgensen,108,72,177,0,357
Bryan,Joseph R. Biden,838,2105,3794,2,6739
Bulloch,Donald J. Trump,6653,2800,8910,23,18386
Bulloch,Jo Jorgensen,192,87,175,1,455
Bulloch,Joseph R. Biden,2415,3530,5263,35,11243
Burke,Donald J. Trump,1949,649,2802,0,5400
Burke,Jo Jorgensen,25,14,36,0,75
Burke,Joseph R. Biden,1490,1867,1852,0,5209
Butts,Donald J. Trump,824,1137,6443,2,8406
Butts,Jo Jorgensen,22,20,49,0,91
Butts,Joseph R. Biden,376,973,1924,1,3274
Calhoun,Donald J. Trump,279,150,494,0,923
Calhoun,Jo Jorgensen,6,3,2,0,11
Calhoun,Joseph R. Biden,361,436,463,0,1260
Camden,Donald J. Trump,3621,2161,9465,4,15251
Camden,Jo Jorgensen,170,95,205,0,470
Camden,Joseph R. Biden,1166,2777,4021,3,7967
Candler,Donald J. Trump,431,375,2327,0,3133
Candler,Jo Jorgensen,14,4,11,0,29
Candler,Joseph R. Biden,193,376,699,1,1269
Carroll,Donald J. Trump,11071,4699,21676,30,37476
Carroll,Jo Jorgensen,278,125,357,0,760
Carroll,Joseph R. Biden,3007,4634,8582,15,16238
Catoosa,Donald J. Trump,5170,2952,17025,20,25167
Catoosa,Jo Jorgensen,178,78,236,2,494
Catoosa,Joseph R. Biden,976,2130,3823,3,6932
Charlton,Donald J. Trump,1124,397,1896,2,3419
Charlton,Jo Jorgensen,17,7,20,0,44
Charlton,Joseph R. Biden,233,294,576,0,1103
Chatham,Donald J. Trump,18346,11781,23014,96,53237
Chatham,Jo Jorgensen,889,506,519,15,1929
Chatham,Joseph R. Biden,17952,29037,31085,180,78254
Chattahoochee,Donald J. Trump,291,132,455,2,880
Chattahoochee,Jo Jorgensen,17,9,8,1,35
Chattahoochee,Joseph R. Biden,150,166,350,1,667
Chattooga,Donald J. Trump,2464,1102,4492,6,8064
Chattooga,Jo Jorgensen,50,25,57,0,132
Chattooga,Joseph R. Biden,366,649,837,2,1854
Cherokee,Donald J. Trump,23758,19639,56171,19,99587
Cherokee,Jo Jorgensen,921,628,899,1,2449
Cherokee,Joseph R. Biden,6598,17261,18929,6,42794
Clarke,Donald J. Trump,3409,4048,6974,15,14446
Clarke,Jo Jorgensen,268,243,325,3,839
Clarke,Joseph R. Biden,5323,14329,16357,39,36048
Clay,Donald J. Trump,131,105,401,0,637
Clay,Jo Jorgensen,5,2,0,0,7
Clay,Joseph R. Biden,165,296,329,0,790
Clayton,Donald J. Trump,3403,4366,7988,56,15813
Clayton,Jo Jorgensen,343,312,397,3,1055
Clayton,Joseph R. Biden,16580,27109,51347,440,95476
Clinch,Donald J. Trump,618,209,1277,1,2105
Clinch,Jo Jorgensen,2,2,8,0,12
Clinch,Joseph R. Biden,235,156,356,0,747
Cobb,Donald J. Trump,37609,50764,76907,179,165459
Cobb,Jo Jorgensen,2157,2320,1952,12,6441
Cobb,Joseph R. Biden,30599,95513,95387,347,221846
Coffee,Donald J. Trump,2587,917,7066,8,10578
Coffee,Jo Jorgensen,41,17,67,0,125
Coffee,Joseph R. Biden,1100,995,2411,5,4511
Colquitt,Donald J. Trump,4270,1365,6132,10,11777
Colquitt,Jo Jorgensen,50,20,49,0,119
Colquitt,Joseph R. Biden,1108,1199,1877,3,4187
Columbia,Donald J. Trump,13300,7023,29643,47,50013
Columbia,Jo Jorgensen,514,241,575,0,1330
Columbia,Joseph R. Biden,5009,9546,14648,33,29236
Cook,Donald J. Trump,1113,486,3301,0,4900
Cook,Jo Jorgensen,26,14,36,0,76
Cook,Joseph R. Biden,538,512,1008,1,2059
Coweta,Donald J. Trump,18273,9400,23824,4,51501
Coweta,Jo Jorgensen,498,304,283,3,1088
Coweta,Joseph R. Biden,5330,9288,9578,14,24210
Crawford,Donald J. Trump,1152,562,2713,1,4428
Crawford,Jo Jorgensen,21,10,28,0,59
Crawford,Joseph R. Biden,263,524,827,1,1615
Crisp,Donald J. Trump,977,780,3227,3,4987
Crisp,Jo Jorgensen,23,10,33,0,66
Crisp,Joseph R. Biden,571,886,1527,2,2986
Dade,Donald J. Trump,2010,635,3414,7,6066
Dade,Jo Jorgensen,51,12,44,0,107
Dade,Joseph R. Biden,243,377,640,1,1261
Dawson,Donald J. Trump,2336,1964,9095,3,13398
Dawson,Jo Jorgensen,62,44,90,1,197
Dawson,Joseph R. Biden,254,1051,1181,0,2486
Decatur,Donald J. Trump,1469,832,4451,6,6758
Decatur,Jo Jorgensen,20,23,46,0,89
Decatur,Joseph R. Biden,788,1472,2512,8,4780
DeKalb,Donald J. Trump,12126,16078,29966,203,58373
DeKalb,Jo Jorgensen,1122,1356,1707,19,4204
DeKalb,Joseph R. Biden,33634,110666,162718,1209,308227
Dodge,Donald J. Trump,2335,711,2793,4,5843
Dodge,Jo Jorgensen,34,10,11,1,56
Dodge,Joseph R. Biden,550,580,1040,1,2171
Dooly,Donald J. Trump,466,259,1431,3,2159
Dooly,Jo Jorgensen,10,7,18,0,35
Dooly,Joseph R. Biden,482,476,951,2,1911
Dougherty,Donald J. Trump,4259,2355,3818,22,10454
Dougherty,Jo Jorgensen,133,70,74,3,280
Dougherty,Joseph R. Biden,7317,8052,9124,84,24577
Douglas,Donald J. Trump,4863,5434,15139,15,25451
Douglas,Jo Jorgensen,259,227,349,2,837
Douglas,Joseph R. Biden,5963,13998,22804,44,42809
Early,Donald J. Trump,799,416,1504,3,2722
Early,Jo Jorgensen,7,6,15,0,28
Early,Joseph R. Biden,646,684,1107,0,2437
Echols,Donald J. Trump,226,121,909,0,1256
Echols,Jo Jorgensen,4,3,11,0,18
Echols,Joseph R. Biden,33,32,102,0,167
Effingham,Donald J. Trump,7350,2520,13471,17,23358
Effingham,Jo Jorgensen,233,92,167,0,492
Effingham,Joseph R. Biden,1752,2333,3623,12,7720
Elbert,Donald J. Trump,1837,981,3408,0,6226
Elbert,Jo Jorgensen,30,13,23,0,66
Elbert,Joseph R. Biden,529,1082,1268,0,2879
Emanuel,Donald J. Trump,2528,896,3126,1,6551
Emanuel,Jo Jorgensen,36,7,22,1,66
Emanuel,Joseph R. Biden,842,808,1234,0,2884
Evans,Donald J. Trump,471,491,1926,0,2888
Evans,Jo Jorgensen,12,12,11,0,35
Evans,Joseph R. Biden,236,347,741,0,1324
Fannin,Donald J. Trump,4163,2253,5730,23,12169
Fannin,Jo Jorgensen,43,32,35,0,110
Fannin,Joseph R. Biden,384,1159,1028,0,2571
Fayette,Donald J. Trump,6352,7382,24162,56,37952
Fayette,Jo Jorgensen,279,232,463,2,976
Fayette,Joseph R. Biden,3400,11152,18443,70,33065
Floyd,Donald J. Trump,7897,4436,16678,112,29123
Floyd,Jo Jorgensen,199,98,220,0,517
Floyd,Joseph R. Biden,2154,3976,5820,58,12008
Forsyth,Donald J. Trump,9740,14612,60739,31,85122
Forsyth,Jo Jorgensen,415,477,1087,1,1980
Forsyth,Joseph R. Biden,3375,15682,23125,21,42203
Franklin,Donald J. Trump,2299,1404,5364,2,9069
Franklin,Jo Jorgensen,31,25,47,0,103
Franklin,Joseph R. Biden,348,598,647,0,1593
Fulton,Donald J. Trump,19552,29479,87293,916,137240
Fulton,Jo Jorgensen,1448,1727,3004,96,6275
Fulton,Joseph R. Biden,38143,115788,224688,2525,381144
Gilmer,Donald J. Trump,4371,2183,6863,12,13429
Gilmer,Jo Jorgensen,64,35,64,1,164
Gilmer,Joseph R. Biden,453,1270,1209,0,2932
Glascock,Donald J. Trump,403,205,795,0,1403
Glascock,Jo Jorgensen,3,1,4,0,8
Glascock,Joseph R. Biden,40,53,62,0,155
Glynn,Donald J. Trump,4701,4388,16492,35,25616
Glynn,Jo Jorgensen,149,105,234,1,489
Glynn,Joseph R. Biden,2153,5735,7969,22,15879
Gordon,Donald J. Trump,6986,2538,9866,15,19405
Gordon,Jo Jorgensen,107,51,86,0,244
Gordon,Joseph R. Biden,1003,1464,1916,1,4384
Grady,Donald J. Trump,2028,1103,3896,7,7034
Grady,Jo Jorgensen,25,11,18,0,54
Grady,Joseph R. Biden,635,1112,1861,11,3619
Greene,Donald J. Trump,844,1275,4947,2,7068
Greene,Jo Jorgensen,21,19,51,0,91
Greene,Joseph R. Biden,583,1532,1965,8,4088
Gwinnett,Donald J. Trump,35271,40396,90472,274,166413
Gwinnett,Jo Jorgensen,1742,1679,2186,18,5625
Gwinnett,Joseph R. Biden,35793,81502,124125,407,241827
Habersham,Donald J. Trump,2628,2905,11083,21,16637
Habersham,Jo Jorgensen,64,42,126,0,232
Habersham,Joseph R. Biden,511,1315,1733,4,3563
Hall,Donald J. Trump,11111,12005,40999,55,64170
Hall,Jo Jorgensen,402,305,611,4,1322
Hall,Joseph R. Biden,3847,9215,11951,18,25031
Hancock,Donald J. Trump,274,244,641,0,1159
Hancock,Jo Jorgensen,10,7,4,0,21
Hancock,Joseph R. Biden,624,1223,1135,3,2985
Haralson,Donald J. Trump,4317,1786,6224,4,12331
Haralson,Jo Jorgensen,55,30,40,0,125
Haralson,Joseph R. Biden,375,671,746,0,1792
Harris,Donald J. Trump,5592,2087,6627,13,14319
Harris,Jo Jorgensen,103,62,50,0,215
Harris,Joseph R. Biden,1278,2067,2106,6,5457
Hart,Donald J. Trump,2338,1437,5687,2,9464
Hart,Jo Jorgensen,43,20,43,0,106
Hart,Joseph R. Biden,560,1128,1467,2,3157
Heard,Donald J. Trump,1641,677,2197,1,4516
Heard,Jo Jorgensen,21,11,19,0,51
Heard,Joseph R. Biden,184,296,343,1,824
Henry,Donald J. Trump,8143,8134,31879,31,48187
Henry,Jo Jorgensen,322,310,645,2,1279
Henry,Joseph R. Biden,8191,20858,44156,71,73276
Houston,Donald J. Trump,11644,8163,21677,50,41534
Houston,Jo Jorgensen,422,294,339,2,1057
Houston,Joseph R. Biden,6349,11867,13970,46,32232
Irwin,Donald J. Trump,655,369,2106,4,3134
Irwin,Jo Jorgensen,8,1,17,0,26
Irwin,Joseph R. Biden,227,257,523,1,1008
Jackson,Donald J. Trump,4961,4395,20135,6,29497
Jackson,Jo Jorgensen,157,116,258,0,531
Jackson,Joseph R. Biden,1053,2797,3791,1,7642
Jasper,Donald J. Trump,1547,808,3455,12,5822
Jasper,Jo Jorgensen,22,18,21,0,61
Jasper,Joseph R. Biden,294,680,785,2,1761
Jeff Davis,Donald J. Trump,1418,528,2749,0,4695
Jeff Davis,Jo Jorgensen,18,13,17,0,48
Jeff Davis,Joseph R. Biden,248,273,507,0,1028
Jefferson,Donald J. Trump,1096,446,1992,3,3537
Jefferson,Jo Jorgensen,18,6,20,0,44
Jefferson,Joseph R. Biden,1056,1274,1723,8,4061
Jenkins,Donald J. Trump,579,335,1244,3,2161
Jenkins,Jo Jorgensen,15,5,8,0,28
Jenkins,Joseph R. Biden,292,416,557,1,1266
Johnson,Donald J. Trump,771,331,1748,0,2850
Johnson,Jo Jorgensen,9,6,13,0,28
Johnson,Joseph R. Biden,209,420,593,0,1222
Jones,Donald J. Trump,3023,1272,5666,4,9965
Jones,Jo Jorgensen,47,18,47,1,113
Jones,Joseph R. Biden,841,1689,2356,2,4888
Lamar,Donald J. Trump,1743,807,3772,8,6330
Lamar,Jo Jorgensen,40,14,40,0,94
Lamar,Joseph R. Biden,472,936,1204,3,2615
Lanier,Donald J. Trump,481,250,1778,0,2509
Lanier,Jo Jorgensen,13,10,25,0,48
Lanier,Joseph R. Biden,204,298,517,0,1019
Laurens,Donald J. Trump,5660,2351,6479,3,14493
Laurens,Jo Jorgensen,62,38,63,0,163
Laurens,Joseph R. Biden,1884,2735,3451,3,8073
Lee,Donald J. Trump,3054,1221,7728,4,12007
Lee,Jo Jorgensen,62,19,68,0,149
Lee,Joseph R. Biden,895,1243,2418,2,4558
Liberty,Donald J. Trump,1704,1311,4941,3,7959
Liberty,Jo Jorgensen,102,93,136,0,331
Liberty,Joseph R. Biden,1666,4301,7129,3,13099
Lincoln,Donald J. Trump,904,442,1832,1,3179
Lincoln,Jo Jorgensen,13,10,13,0,36
Lincoln,Joseph R. Biden,265,628,540,2,1435
Long,Donald J. Trump,1126,290,2102,10,3528
Long,Jo Jorgensen,33,14,48,0,95
Long,Joseph R. Biden,379,500,1148,6,2033
Lowndes,Donald J. Trump,5351,3379,16795,166,25691
Lowndes,Jo Jorgensen,168,122,249,8,547
Lowndes,Joseph R. Biden,2892,5929,11017,279,20117
Lumpkin,Donald J. Trump,2002,2022,8138,1,12163
Lumpkin,Jo Jorgensen,63,48,131,0,242
Lumpkin,Joseph R. Biden,332,1245,1549,0,3126
Macon,Donald J. Trump,348,139,1296,0,1783
Macon,Jo Jorgensen,10,2,10,0,22
Macon,Joseph R. Biden,692,706,1459,0,2857
Madison,Donald J. Trump,3502,1718,6103,3,11326
Madison,Jo Jorgensen,83,40,77,0,200
Madison,Joseph R. Biden,740,1192,1478,1,3411
Marion,Donald J. Trump,759,295,1221,0,2275
Marion,Jo Jorgensen,12,6,20,0,38
Marion,Joseph R. Biden,220,471,620,0,1311
McDuffie,Donald J. Trump,826,898,4445,0,6169
McDuffie,Jo Jorgensen,40,23,55,0,118
McDuffie,Joseph R. Biden,600,1522,2046,0,4168
McIntosh,Donald J. Trump,810,834,2371,1,4016
McIntosh,Jo Jorgensen,34,15,19,0,68
McIntosh,Joseph R. Biden,442,853,1317,0,2612
Meriwether,Donald J. Trump,2230,980,3312,2,6524
Meriwether,Jo Jorgensen,25,17,24,0,66
Meriwether,Joseph R. Biden,1189,1489,1604,5,4287
Miller,Donald J. Trump,530,264,1269,3,2066
Miller,Jo Jorgensen,7,2,11,0,20
Miller,Joseph R. Biden,174,221,354,0,749
Mitchell,Donald J. Trump,1551,681,2701,2,4935
Mitchell,Jo Jorgensen,17,9,7,0,33
Mitchell,Joseph R. Biden,818,1499,1673,5,3995
Monroe,Donald J. Trump,3102,1062,6890,6,11060
Monroe,Jo Jorgensen,52,27,69,0,148
Monroe,Joseph R. Biden,690,1372,2320,2,4384
Montgomery,Donald J. Trump,1109,356,1495,0,2960
Montgomery,Jo Jorgensen,12,3,12,0,27
Montgomery,Joseph R. Biden,250,310,419,0,979
Morgan,Donald J. Trump,1865,938,5424,3,8230
Morgan,Jo Jorgensen,50,19,53,0,122
Morgan,Joseph R. Biden,496,1042,1815,2,3355
Murray,Donald J. Trump,3893,1361,7689,0,12943
Murray,Jo Jorgensen,50,22,72,0,144
Murray,Joseph R. Biden,530,679,1093,0,2302
Muscogee,Donald J. Trump,6527,6399,17106,17,30049
Muscogee,Jo Jorgensen,305,261,397,2,965
Muscogee,Joseph R. Biden,6579,17690,25227,33,49529
Newton,Donald J. Trump,10888,4860,8103,18,23869
Newton,Jo Jorgensen,289,158,129,0,576
Newton,Joseph R. Biden,6745,10471,12556,22,29794
Oconee,Donald J. Trump,2680,2696,11216,3,16595
Oconee,Jo Jorgensen,113,76,222,0,411
Oconee,Joseph R. Biden,723,2993,4444,2,8162
Oglethorpe,Donald J. Trump,1061,946,3584,2,5593
Oglethorpe,Jo Jorgensen,26,28,47,1,102
Oglethorpe,Joseph R. Biden,417,868,1150,1,2436
Paulding,Donald J. Trump,9710,9582,35174,59,54525
Paulding,Jo Jorgensen,327,278,550,1,1156
Paulding,Joseph R. Biden,3763,10525,15376,40,29704
Peach,Donald J. Trump,954,810,4728,10,6502
Peach,Jo Jorgensen,44,12,66,1,123
Peach,Joseph R. Biden,809,1741,3364,6,5920
Pickens,Donald J. Trump,5994,1786,6287,8,14075
Pickens,Jo Jorgensen,135,34,64,0,233
Pickens,Joseph R. Biden,645,1119,1044,0,2808
Pierce,Donald J. Trump,1208,923,5768,0,7899
Pierce,Jo Jorgensen,14,6,29,0,49
Pierce,Joseph R. Biden,122,368,610,0,1100
Pike,Donald J. Trump,2341,919,5864,3,9127
Pike,Jo Jorgensen,27,20,41,0,88
Pike,Joseph R. Biden,285,523,695,2,1505
Polk,Donald J. Trump,2849,1707,9021,12,13589
Polk,Jo Jorgensen,58,24,67,3,152
Polk,Joseph R. Biden,607,1088,1957,6,3658
Pulaski,Donald J. Trump,336,313,2155,1,2805
Pulaski,Jo Jorgensen,10,9,18,0,37
Pulaski,Joseph R. Biden,165,337,715,0,1217
Putnam,Donald J. Trump,1547,1760,4983,1,8291
Putnam,Jo Jorgensen,35,34,47,0,116
Putnam,Joseph R. Biden,470,1478,1500,0,3448
Quitman,Donald J. Trump,163,88,353,0,604
Quitman,Jo Jorgensen,3,1,1,0,5
Quitman,Joseph R. Biden,163,137,196,1,497
Rabun,Donald J. Trump,1207,1663,4604,0,7474
Rabun,Jo Jorgensen,28,33,49,0,110
Rabun,Joseph R. Biden,199,888,897,0,1984
Randolph,Donald J. Trump,321,214,856,0,1391
Randolph,Jo Jorgensen,6,2,4,0,12
Randolph,Joseph R. Biden,402,464,802,3,1671
Richmond,Donald J. Trump,8584,6233,11931,33,26781
Richmond,Jo Jorgensen,428,322,359,2,1111
Richmond,Joseph R. Biden,11843,21348,25780,153,59124
Rockdale,Donald J. Trump,2526,3005,7466,15,13012
Rockdale,Jo Jorgensen,126,115,189,0,430
Rockdale,Joseph R. Biden,3543,9429,18248,24,31244
Schley,Donald J. Trump,304,154,1341,1,1800
Schley,Jo Jorgensen,4,3,6,0,13
Schley,Joseph R. Biden,65,157,240,0,462
Screven,Donald J. Trump,1260,505,2140,11,3916
Screven,Jo Jorgensen,24,5,22,0,51
Screven,Joseph R. Biden,601,789,1264,7,2661
Seminole,Donald J. Trump,944,277,1390,0,2611
Seminole,Jo Jorgensen,15,1,3,0,19
Seminole,Joseph R. Biden,294,269,691,0,1254
Spalding,Donald J. Trump,5234,3490,8801,532,18057
Spalding,Jo Jorgensen,132,53,78,12,275
Spalding,Joseph R. Biden,2554,4264,4600,366,11784
Stephens,Donald J. Trump,1234,1365,6765,4,9368
Stephens,Jo Jorgensen,33,24,75,0,132
Stephens,Joseph R. Biden,291,806,1288,0,2385
Stewart,Donald J. Trump,229,105,462,5,801
Stewart,Jo Jorgensen,2,2,3,0,7
Stewart,Joseph R. Biden,292,378,505,7,1182
Sumter,Donald J. Trump,1524,837,3358,13,5732
Sumter,Jo Jorgensen,26,18,56,0,100
Sumter,Joseph R. Biden,1139,2023,3150,6,6318
Talbot,Donald J. Trump,464,241,686,1,1392
Talbot,Jo Jorgensen,9,2,5,0,16
Talbot,Joseph R. Biden,541,955,618,0,2114
Taliaferro,Donald J. Trump,96,64,200,0,360
Taliaferro,Jo Jorgensen,4,1,2,0,7
Taliaferro,Joseph R. Biden,100,237,223,1,561
Tattnall,Donald J. Trump,1536,818,3699,0,6053
Tattnall,Jo Jorgensen,34,10,25,0,69
Tattnall,Joseph R. Biden,412,546,1103,0,2061
Taylor,Donald J. Trump,349,292,1764,13,2418
Taylor,Jo Jorgensen,13,3,18,0,34
Taylor,Joseph R. Biden,272,489,624,2,1387
Telfair,Donald J. Trump,958,358,1506,3,2825
Telfair,Jo Jorgensen,10,2,9,0,21
Telfair,Joseph R. Biden,317,618,545,7,1487
Terrell,Donald J. Trump,665,270,1069,0,2004
Terrell,Jo Jorgensen,15,12,9,0,36
Terrell,Joseph R. Biden,567,839,969,1,2376
Thomas,Donald J. Trump,2718,1670,8565,1,12954
Thomas,Jo Jorgensen,65,35,91,0,191
Thomas,Joseph R. Biden,1473,2412,4819,4,8708
Tift,Donald J. Trump,2721,1221,6833,9,10784
Tift,Jo Jorgensen,54,33,88,2,177
Tift,Joseph R. Biden,1110,1464,2732,16,5322
Toombs,Donald J. Trump,1797,1217,4852,6,7872
Toombs,Jo Jorgensen,49,16,38,0,103
Toombs,Joseph R. Biden,569,1078,1288,4,2939
Towns,Donald J. Trump,984,1227,4165,8,6384
Towns,Jo Jorgensen,17,10,18,0,45
Towns,Joseph R. Biden,118,711,720,1,1550
Treutlen,Donald J. Trump,418,274,1409,0,2101
Treutlen,Jo Jorgensen,10,4,10,0,24
Treutlen,Joseph R. Biden,123,303,526,0,952
Troup,Donald J. Trump,4673,2905,10519,46,18143
Troup,Jo Jorgensen,139,60,129,0,328
Troup,Joseph R. Biden,2809,3459,5276,34,11578
Turner,Donald J. Trump,377,233,1738,1,2349
Turner,Jo Jorgensen,6,5,22,0,33
Turner,Joseph R. Biden,332,289,788,1,1410
Twiggs,Donald J. Trump,841,310,1219,0,2370
Twiggs,Jo Jorgensen,15,7,8,0,30
Twiggs,Joseph R. Biden,426,736,878,4,2044
Union,Donald J. Trump,3400,2232,7008,11,12651
Union,Jo Jorgensen,49,23,36,0,108
Union,Joseph R. Biden,300,1303,1198,0,2801
Upson,Donald J. Trump,1364,1175,6063,6,8608
Upson,Jo Jorgensen,28,20,48,0,96
Upson,Joseph R. Biden,646,1572,1983,0,4201
Walker,Donald J. Trump,5560,3517,14089,8,23174
Walker,Jo Jorgensen,162,76,173,0,411
Walker,Joseph R. Biden,994,2206,2567,2,5769
Walton,Donald J. Trump,9202,6031,22594,15,37842
Walton,Jo Jorgensen,225,111,235,0,571
Walton,Joseph R. Biden,2145,4254,6272,11,12682
Ware,Donald J. Trump,2577,1368,5900,20,9865
Ware,Jo Jorgensen,46,17,52,1,116
Ware,Joseph R. Biden,563,1556,2066,26,4211
Warren,Donald J. Trump,190,205,771,0,1166
Warren,Jo Jorgensen,6,1,9,0,16
Warren,Joseph R. Biden,297,540,632,0,1469
Washington,Donald J. Trump,1481,719,2458,5,4663
Washington,Jo Jorgensen,25,14,27,0,66
Washington,Joseph R. Biden,1071,1811,1843,5,4730
Wayne,Donald J. Trump,2495,1354,6131,7,9987
Wayne,Jo Jorgensen,35,16,53,0,104
Wayne,Joseph R. Biden,460,736,1489,2,2687
Webster,Donald J. Trump,139,121,488,0,748
Webster,Jo Jorgensen,0,2,1,0,3
Webster,Joseph R. Biden,142,227,270,0,639
Wheeler,Donald J. Trump,438,202,943,0,1583
Wheeler,Jo Jorgensen,5,1,7,0,13
Wheeler,Joseph R. Biden,197,195,297,0,689
White,Donald J. Trump,3448,2088,6680,6,12222
White,Jo Jorgensen,80,27,76,0,183
White,Joseph R. Biden,372,973,1066,0,2411
Whitfield,Donald J. Trump,8963,3544,13084,45,25636
Whitfield,Jo Jorgensen,194,84,162,0,440
Whitfield,Joseph R. Biden,2814,2840,4997,19,10670
Wilcox,Donald J. Trump,743,343,1317,0,2403
Wilcox,Jo Jorgensen,8,2,6,0,16
Wilcox,Joseph R. Biden,285,212,365,0,862
Wilkes,Donald J. Trump,704,467,1649,3,2823
Wilkes,Jo Jorgensen,16,10,20,0,46
Wilkes,Joseph R. Biden,504,755,897,4,2160
Wilkinson,Donald J. Trump,1293,259,1109,3,2664
Wilkinson,Jo Jorgensen,17,4,10,0,31
Wilkinson,Joseph R. Biden,528,602,942,3,2075
Worth,Donald J. Trump,2779,766,3285,0,6830
Worth,Jo Jorgensen,22,10,28,0,60
Worth,Joseph R. Biden,581,820,994,0,2395
